"Group","Year","Date","Sport","Gold","Athlete","Age","Country","Silver","Bronze","Total"
"G","2004","29/08/2004","Canoeing","1","Tomasz Wylenzek","21","Germany","0","0","1"
"G","2004","29/08/2004","Canoeing","0","Ian Wynne","30","Great Britain","0","1","1"
"C","2004","29/08/2004","Canoeing","1","Yang Wenjun","20","China","0","0","1"
"G","2004","29/08/2004","Canoeing","0","Mark Zabel","31","Germany","1","0","1"
"G","2000","01/10/2000","Canoeing","0","Björn Bach","24","Germany","1","0","1"
"C","2000","01/10/2000","Canoeing","0","Ledys Balceiro","25","Cuba","1","0","1"
"P","2000","01/10/2000","Canoeing","0","Pawel Baraszkiewicz","23","Poland","1","0","1"
"F","2000","01/10/2000","Canoeing","0","Anne-Lise Bardet","30","France","0","1","1"
"H","2000","01/10/2000","Canoeing","0","Krisztián Bártfai","26","Hungary","0","1","1"
"P","2000","01/10/2000","Canoeing","0","Dariusz Bialkowski","30","Poland","0","1","1"
"I","2000","01/10/2000","Canoeing","1","Beniamino Bonomi","32","Italy","0","0","1"
"A","2000","01/10/2000","Canoeing","0","Katrin Borchert","31","Australia","0","1","1"
"G","2000","01/10/2000","Canoeing","0","Tim Brabants","23","Great Britain","0","1","1"
"C","2000","01/10/2000","Canoeing","0","Caroline Brunet","31","Canada","1","0","1"
"A","2000","01/10/2000","Canoeing","0","Danny Collins","29","Australia","1","0","1"
"F","2000","01/10/2000","Canoeing","1","Tony Estanguet","22","France","0","0","1"
"I","2000","01/10/2000","Canoeing","0","Pierpaolo Ferrazzi","35","Italy","0","1","1"
"C","2000","01/10/2000","Canoeing","0","Steve Giles","28","Canada","0","1","1"
"F","2000","01/10/2000","Canoeing","0","Brigitte Guibal","29","France","1","0","1"
"C","2000","01/10/2000","Canoeing","1","Štepánka Hilgertová","32","Czech Republic","0","0","1"
"S","2000","01/10/2000","Canoeing","1","Pavol Hochschorner","21","Slovakia","0","0","1"
"S","2000","01/10/2000","Canoeing","1","Peter Hochschorner","21","Slovakia","0","0","1"
"H","2000","01/10/2000","Canoeing","1","Gábor Horváth","28","Hungary","0","0","1"
"I","2000","01/10/2000","Canoeing","1","Josefa Idem-Guerrini","36","Italy","0","0","1"
"R","2000","01/10/2000","Canoeing","0","Raluca Ionita","24","Romania","0","1","1"
"P","2000","01/10/2000","Canoeing","0","Daniel Jedraszko","24","Poland","1","0","1"
"C","2000","01/10/2000","Canoeing","0","Marek Jiras","22","Czech Republic","0","1","1"
"H","2000","01/10/2000","Canoeing","0","Rita Kobán","35","Hungary","1","0","1"
"G","2000","01/10/2000","Canoeing","0","Lars Kober","23","Germany","0","1","1"
"I","2000","01/10/2000","Canoeing","0","Michael Kolganov","25","Israel","0","1","1"
"H","2000","01/10/2000","Canoeing","1","György Kolonics","28","Hungary","0","0","1"
"P","2000","01/10/2000","Canoeing","0","Grzegorz Kotowicz","27","Poland","0","1","1"
"P","2000","01/10/2000","Canoeing","0","Krzysztof Kolomanski","27","Poland","1","0","1"
"R","2000","01/10/2000","Canoeing","0","Mariana Limbau","23","Romania","0","1","1"
"C","2000","01/10/2000","Canoeing","0","Tomáš Máder","26","Czech Republic","0","1","1"
"S","2000","01/10/2000","Canoeing","0","Michal Martikán","21","Slovakia","1","0","1"
"S","2000","01/10/2000","Canoeing","0","Juraj Mincík","23","Slovakia","0","1","1"
"G","2000","01/10/2000","Canoeing","1","Manuela Mucke","25","Germany","0","0","1"
"S","2000","01/10/2000","Canoeing","0","Henrik Nilsson","24","Sweden","1","0","1"
"H","2000","01/10/2000","Canoeing","1","Ferenc Novák","31","Hungary","0","0","1"
"R","2000","01/10/2000","Canoeing","0","Maksim Opalev","21","Russia","1","0","1"
"S","2000","01/10/2000","Canoeing","0","Markus Oscarsson","23","Sweden","1","0","1"
"P","2000","01/10/2000","Canoeing","0","Aneta Pastuszka-Konieczna","22","Poland","0","1","1"
"C","2000","01/10/2000","Canoeing","0","Leobaldo Pereira","28","Cuba","1","0","1"
"H","2000","01/10/2000","Canoeing","1","Imre Pulai","32","Hungary","0","0","1"
"R","2000","01/10/2000","Canoeing","0","Elena Radu","25","Romania","0","1","1"
"G","2000","01/10/2000","Canoeing","0","Paul Ratcliffe","26","Great Britain","1","0","1"
"G","2000","01/10/2000","Canoeing","0","Ronald Rauhe","18","Germany","0","1","1"
"C","2000","01/10/2000","Canoeing","0","Ibrahim Rojas","24","Cuba","1","0","1"
"I","2000","01/10/2000","Canoeing","1","Antonio Rossi","31","Italy","0","0","1"
"G","2000","01/10/2000","Canoeing","0","Jan Schäfer","25","Germany","1","0","1"
"G","2000","01/10/2000","Canoeing","1","Thomas Schmidt","24","Germany","0","0","1"
"G","2000","01/10/2000","Canoeing","1","Anett Schuck","30","Germany","0","0","1"
"P","2000","01/10/2000","Canoeing","0","Adam Seroczynski","26","Poland","0","1","1"
"P","2000","01/10/2000","Canoeing","0","Beata Sokolowska-Kulesza","26","Poland","0","1","1"
"P","2000","01/10/2000","Canoeing","0","Michal Staniszewski","27","Poland","1","0","1"
"R","2000","01/10/2000","Canoeing","0","Sanda Toma","30","Romania","0","1","1"
"A","2000","01/10/2000","Canoeing","0","Andrew Trim","31","Australia","1","0","1"
"G","2000","01/10/2000","Canoeing","0","Stefan Ulm","24","Germany","1","0","1"
"G","2000","01/10/2000","Canoeing","0","Stefan Uteß","25","Germany","0","1","1"
"H","2000","01/10/2000","Canoeing","0","Krisztián Veréb","23","Hungary","0","1","1"
"H","2000","01/10/2000","Canoeing","1","Ákos Vereckei","23","Hungary","0","0","1"
"H","2000","01/10/2000","Canoeing","0","Erzsébet Viski","20","Hungary","1","0","1"
"G","2000","01/10/2000","Canoeing","0","Tim Wieskötter","21","Germany","0","1","1"
"P","2000","01/10/2000","Canoeing","0","Marek Witkowski","26","Poland","0","1","1"
"G","2000","01/10/2000","Canoeing","0","Mark Zabel","27","Germany","1","0","1"
"U","2008","24/08/2008","Baseball","0","Brett Anderson","20","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Jake Arrieta","22","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Brian Barden","27","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Alexei Bell","24","Cuba","1","0","1"
"S","2008","24/08/2008","Baseball","1","Bong Jung-Keun","28","South Korea","0","0","1"
"U","2008","24/08/2008","Baseball","0","Matt Brown","26","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Trevor Cahill","20","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Frederich Cepeda","28","Cuba","1","0","1"
"U","2008","24/08/2008","Baseball","0","Jeremy Cummings","31","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Alfredo Despaigne","22","Cuba","1","0","1"
"U","2008","24/08/2008","Baseball","0","Jason Donald","23","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Brian Duensing","25","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Giorvis Duvergel","28","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Michel Enríquez","29","Cuba","1","0","1"
"U","2008","24/08/2008","Baseball","0","Dexter Fowler","22","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","John Gall","30","United States","0","1","1"
"S","2008","24/08/2008","Baseball","1","Gang Min-Ho","22","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Go Yeong-Min","24","South Korea","0","0","1"
"C","2008","24/08/2008","Baseball","0","Norberto González","28","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Yulieski Gourriel","24","Cuba","1","0","1"
"S","2008","24/08/2008","Baseball","1","Gwon Hyeok","24","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Han Gi-Ju","21","South Korea","0","0","1"
"U","2008","24/08/2008","Baseball","0","Mike Hessman","30","United States","0","1","1"
"S","2008","24/08/2008","Baseball","1","Jang Won-Sam","25","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Jeong Dae-Hyeon","29","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Jeong Geun-U","25","South Korea","0","0","1"
"U","2008","24/08/2008","Baseball","0","Kevin Jepsen","24","United States","0","1","1"
"S","2008","24/08/2008","Baseball","1","Jin Gab-Yong","34","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Kim Dong-Ju","32","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Kim Gwang-Hyeon","20","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Kim Hyeon-Su","20","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Kim Min-Jae","35","South Korea","0","0","1"
"U","2008","24/08/2008","Baseball","0","Brandon Knight","32","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Mike Koplove","31","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Miguel La Hera","23","Cuba","1","0","1"
"U","2008","24/08/2008","Baseball","0","Matt LaPorta","23","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Pedro Luis Lazo","35","Cuba","1","0","1"
"S","2008","24/08/2008","Baseball","1","Lee Dae-Ho","26","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Lee Jin-Yeong","28","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Lee Jong-Uk","28","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Lee Seung-Yeop","31","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Lee Taek-Geun","28","South Korea","0","0","1"
"S","2008","24/08/2008","Baseball","1","Lee Yong-Gyu","22","South Korea","0","0","1"
"U","2008","24/08/2008","Baseball","0","Lou Marson","22","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Jonder Martínez","30","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Alexander Mayeta","31","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Rolando Meriño","37","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Luis Miguel Navas","28","Cuba","1","0","1"
"U","2008","24/08/2008","Baseball","0","Blaine Neal","30","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Jayson Nix","25","United States","0","1","1"
"S","2008","24/08/2008","Baseball","1","O Seung-Hwan","26","South Korea","0","0","1"
"C","2008","24/08/2008","Baseball","0","Vicyohandri Odelín","28","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Héctor Olivera Jr.","23","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Adiel Palma","37","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Eduardo Paret","35","Cuba","1","0","1"
"S","2008","24/08/2008","Baseball","1","Park Jin-Man","31","South Korea","0","0","1"
"C","2008","24/08/2008","Baseball","0","Yadier Pedroso","22","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Ariel Pestano","34","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Luis Miguel Rodríguez","35","Cuba","1","0","1"
"S","2008","24/08/2008","Baseball","1","Ryu Hyeon-Jin","21","South Korea","0","0","1"
"C","2008","24/08/2008","Baseball","0","Elier Sánchez","21","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Eriel Sánchez","33","Cuba","1","0","1"
"U","2008","24/08/2008","Baseball","0","Nate Schierholtz","24","United States","0","1","1"
"S","2008","24/08/2008","Baseball","1","Song Seung-Jun","28","South Korea","0","0","1"
"U","2008","24/08/2008","Baseball","0","Jeff Stevens","24","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Stephen Strasburg","20","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Taylor Teagarden","24","United States","0","1","1"
"U","2008","24/08/2008","Baseball","0","Terry Tiffee","29","United States","0","1","1"
"C","2008","24/08/2008","Baseball","0","Yoandri Urgellés","27","Cuba","1","0","1"
"C","2008","24/08/2008","Baseball","0","Norge Luis Vera","37","Cuba","1","0","1"
"U","2008","24/08/2008","Baseball","0","Casey Weathers","23","United States","0","1","1"
"S","2008","24/08/2008","Baseball","1","Yoon Suk-Min","22","South Korea","0","0","1"
"J","2004","29/08/2004","Baseball","0","Ryoji Aikawa","28","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Craig Anderson","23","Australia","1","0","1"
"J","2004","29/08/2004","Baseball","0","Yuya Ando","26","Japan","0","1","1"
"C","2004","29/08/2004","Baseball","1","Danny Betancourt","23","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Luis Borroto","21","Cuba","0","0","1"
"A","2004","29/08/2004","Baseball","0","Tom Brice","22","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Adrian Burnside","27","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Frederich Cepeda","24","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Yorelvis Charles","25","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Michel Enríquez","25","Cuba","0","0","1"
"A","2004","29/08/2004","Baseball","0","Gavin Fingleson","28","Australia","1","0","1"
"J","2004","29/08/2004","Baseball","0","Atsushi Fujimoto","26","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Kosuke Fukudome","27","Japan","0","1","1"
"C","2004","29/08/2004","Baseball","1","Norberto González","24","Cuba","0","0","1"
"A","2004","29/08/2004","Baseball","0","Paul Gonzalez","35","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Yulieski Gourriel","20","Cuba","0","0","1"
"J","2004","29/08/2004","Baseball","0","Hirotoshi Ishii","26","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Hisashi Iwakuma","23","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Hitoki Iwase","29","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Kenji Johjima","28","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Makoto Kaneko","28","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Nick Kimpton","20","Australia","1","0","1"
"J","2004","29/08/2004","Baseball","0","Takuya Kimura","32","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Brendan Kingman","31","Australia","1","0","1"
"J","2004","29/08/2004","Baseball","0","Masahide Kobayashi","30","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Hiroki Kuroda","29","Japan","0","1","1"
"C","2004","29/08/2004","Baseball","1","Pedro Luis Lazo","31","Cuba","0","0","1"
"A","2004","29/08/2004","Baseball","0","Craig Lewis","27","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Graeme Lloyd","37","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Roger Machado","30","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Jonder Martínez","26","Cuba","0","0","1"
"J","2004","29/08/2004","Baseball","0","Daisuke Matsuzaka","23","Japan","0","1","1"
"C","2004","29/08/2004","Baseball","1","Danny Miranda","25","Cuba","0","0","1"
"J","2004","29/08/2004","Baseball","0","Daisuke Miura","30","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Shinya Miyamoto","33","Japan","0","1","1"
"C","2004","29/08/2004","Baseball","1","Frank Montieth","19","Cuba","0","0","1"
"J","2004","29/08/2004","Baseball","0","Arihito Muramatsu","31","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Norihiro Nakamura","31","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Dave Nilsson","34","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Vicyohandri Odelín","24","Cuba","0","0","1"
"A","2004","29/08/2004","Baseball","0","Trent Oeltjen","21","Australia","1","0","1"
"J","2004","29/08/2004","Baseball","0","Michihiro Ogasawara","30","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Wayne Ough","25","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Chris Oxspring","27","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Adiel Palma","33","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Eduardo Paret","31","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Ariel Pestano","30","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Alexei Ramírez","22","Cuba","0","0","1"
"A","2004","29/08/2004","Baseball","0","Brett Roneberg","25","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Ryan Rowland Smith","21","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Eriel Sánchez","29","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Antonio Scull","38","Cuba","0","0","1"
"J","2004","29/08/2004","Baseball","0","Naoyuki Shimizu","28","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","John Stephens","24","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Phil Stockman","24","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Carlos Tabares","30","Cuba","0","0","1"
"J","2004","29/08/2004","Baseball","0","Yoshinobu Takahashi","29","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Brett Tamburrino","22","Australia","1","0","1"
"J","2004","29/08/2004","Baseball","0","Yoshitomo Tani","31","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Richard Thompson","20","Australia","1","0","1"
"J","2004","29/08/2004","Baseball","0","Koji Uehara","29","Japan","0","1","1"
"C","2004","29/08/2004","Baseball","1","Yoandri Urgellés","23","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Osmani Urrutia","28","Cuba","0","0","1"
"A","2004","29/08/2004","Baseball","0","Andrew Utting","26","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Rodney Van Buizen","23","Australia","1","0","1"
"C","2004","29/08/2004","Baseball","1","Manuel Vega","29","Cuba","0","0","1"
"C","2004","29/08/2004","Baseball","1","Norge Luis Vera","33","Cuba","0","0","1"
"J","2004","29/08/2004","Baseball","0","Kazuhiro Wada","32","Japan","0","1","1"
"J","2004","29/08/2004","Baseball","0","Tsuyoshi Wada","23","Japan","0","1","1"
"A","2004","29/08/2004","Baseball","0","Ben Wigmore","22","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Glenn Williams","27","Australia","1","0","1"
"A","2004","29/08/2004","Baseball","0","Jeff Williams","32","Australia","1","0","1"
"U","2000","01/10/2000","Baseball","1","Brent Abernathy","22","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Kurt Ainsworth","22","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Omar Ajete","35","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Yosvany Aragón","26","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Pat Borders","37","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Sean Burroughs","20","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Miguel Caldés","29","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Danel Castro","24","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","José Contreras","28","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","John Cotton","29","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Travis Dawkins","21","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Yobal Dueñas","28","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Adam Everett","23","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Ryan Franklin","27","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Chris George","21","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Yasser Gómez","20","Cuba","1","0","1"
"S","2000","01/10/2000","Baseball","0","Gu Dae-Seong","31","South Korea","0","1","1"
"U","2000","01/10/2000","Baseball","1","Shane Heams","24","United States","0","0","1"
"S","2000","01/10/2000","Baseball","0","Hong Seong-Heun","23","South Korea","0","1","1"
"C","2000","01/10/2000","Baseball","0","José Ibar","31","Cuba","1","0","1"
"S","2000","01/10/2000","Baseball","0","Im Chang-Yong","24","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Im Seon-Dong","27","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Jang Seong-Ho","22","South Korea","0","1","1"
"U","2000","01/10/2000","Baseball","1","Marcus Jensen","27","United States","0","0","1"
"S","2000","01/10/2000","Baseball","0","Jeong Dae-Hyeon","21","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Jeong Min-Tae","30","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Jeong Su-Geun","23","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Jin Pil-Jung","27","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Kim Dong-Ju","24","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Kim Gi-Tae","31","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Kim Han-Su","28","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Kim Su-Gyeong","21","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Kim Tae-Gyun","29","South Korea","0","1","1"
"C","2000","01/10/2000","Baseball","0","Orestes Kindelán","35","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Mike Kinkade","27","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Rick Krivda","30","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Pedro Luis Lazo","27","Cuba","1","0","1"
"S","2000","01/10/2000","Baseball","0","Lee Byeong-Gyu","25","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Lee Seung-Ho","19","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Lee Seung-Yeop","24","South Korea","0","1","1"
"C","2000","01/10/2000","Baseball","0","Omar Linares","32","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Oscar Macias","31","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Juan Manrique","33","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Javier Méndez","36","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Rolando Meriño","29","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Germán Mesa","33","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Doug Mientkiewicz","26","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Mike Neill","30","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Roy Oswalt","23","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Antonio Pacheco","36","Cuba","1","0","1"
"S","2000","01/10/2000","Baseball","0","Park Gyeong-Wan","28","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Park Jae-Hong","27","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Park Jin-Man","23","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Park Jong-Ho","27","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Park Seok-Jin","28","South Korea","0","1","1"
"C","2000","01/10/2000","Baseball","0","Ariel Pestano","26","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Gabriel Pierre","33","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Jon Rauch","21","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Maels Rodríguez","20","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Anthony Sanders","26","United States","0","0","1"
"C","2000","01/10/2000","Baseball","0","Antonio Scull","35","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Bobby Seay","22","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Ben Sheets","22","United States","0","0","1"
"S","2000","01/10/2000","Baseball","0","Son Min-Han","25","South Korea","0","1","1"
"S","2000","01/10/2000","Baseball","0","Song Jin-U","34","South Korea","0","1","1"
"C","2000","01/10/2000","Baseball","0","Luis Ulacia","36","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Lazaro Valle","37","Cuba","1","0","1"
"C","2000","01/10/2000","Baseball","0","Norge Luis Vera","29","Cuba","1","0","1"
"U","2000","01/10/2000","Baseball","1","Brad Wilkerson","23","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Todd Williams","29","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Ernie Young","31","United States","0","0","1"
"U","2000","01/10/2000","Baseball","1","Tim Young","26","United States","0","0","1"
"G","2012","12/08/2012","Boxing","1","Nicola Adams","29","Great Britain","0","0","1"
"R","2012","12/08/2012","Boxing","0","Misha Aloyan","23","Russia","0","1","1"
"C","2012","12/08/2012","Boxing","0","Lázaro Álvarez","21","Cuba","0","1","1"
"B","2012","12/08/2012","Boxing","0","Adriana Araújo","31","Brazil","0","1","1"
"U","2012","12/08/2012","Boxing","0","Abbos Atayev","26","Uzbekistan","0","1","1"
"R","2012","12/08/2012","Boxing","0","David Ayrapetyan","28","Russia","0","1","1"
"I","2012","12/08/2012","Boxing","0","Paddy Barnes","25","Ireland","0","1","1"
"U","2012","12/08/2012","Boxing","0","Denys Berinchyk","24","Ukraine","1","0","1"
"I","2012","12/08/2012","Boxing","0","Roberto Cammarelle","32","Italy","1","0","1"
"G","2012","12/08/2012","Boxing","1","Luke Campbell","24","Great Britain","0","0","1"
"T","2012","12/08/2012","Boxing","0","Mavzuna Choriyeva","19","Tajikistan","0","1","1"
"I","2012","12/08/2012","Boxing","0","Michael Conlan","20","Ireland","0","1","1"
"K","2012","12/08/2012","Boxing","0","Ivan Dychko","21","Kazakhstan","0","1","1"
"U","2012","12/08/2012","Boxing","0","Marlen Esparza","23","United States","0","1","1"
"G","2012","12/08/2012","Boxing","0","Fred Evans","21","Great Britain","1","0","1"
"B","2012","12/08/2012","Boxing","0","Esquiva Florentino","22","Brazil","1","0","1"
"B","2012","12/08/2012","Boxing","0","Yamaguchi Florentino","24","Brazil","0","1","1"
"S","2012","12/08/2012","Boxing","0","Han Sun-Cheol","27","South Korea","1","0","1"
"U","2012","12/08/2012","Boxing","0","Oleksandr Hvozdyk","25","Ukraine","0","1","1"
"C","2012","12/08/2012","Boxing","1","Roniel Iglesias","23","Cuba","0","0","1"
"G","2012","12/08/2012","Boxing","1","Anthony Joshua","22","Great Britain","0","0","1"
"I","2012","12/08/2012","Boxing","0","M. C. Mary Kom","29","India","0","1","1"
"C","2012","12/08/2012","Boxing","0","Li Jinzi","22","China","0","1","1"
"U","2012","12/08/2012","Boxing","1","Vasyl Lomachenko","24","Ukraine","0","0","1"
"I","2012","12/08/2012","Boxing","0","Vincenzo Mangiacapre","23","Italy","0","1","1"
"R","2012","12/08/2012","Boxing","1","Yegor Mekhontsev","27","Russia","0","0","1"
"J","2012","12/08/2012","Boxing","1","Ryota Murata","26","Japan","0","0","1"
"A","2012","12/08/2012","Boxing","0","M?h?mm?dr?sul M?cidov","25","Azerbaijan","0","1","1"
"A","2012","12/08/2012","Boxing","0","Teymur M?mm?dov","19","Azerbaijan","0","1","1"
"I","2012","12/08/2012","Boxing","0","John Joe Nevin","23","Ireland","1","0","1"
"K","2012","12/08/2012","Boxing","0","Adilbek Niyazymbetov","23","Kazakhstan","1","0","1"
"M","2012","12/08/2012","Boxing","0","Nyambayaryn Tögstsogt","20","Mongolia","1","0","1"
"R","2012","12/08/2012","Boxing","0","Sofya Ochigava","25","Russia","1","0","1"
"G","2012","12/08/2012","Boxing","0","Anthony Ogogo","23","Great Britain","0","1","1"
"L","2012","12/08/2012","Boxing","0","Evaldas Petrauskas","20","Lithuania","0","1","1"
"T","2012","12/08/2012","Boxing","0","Kaeo Pongprayoon","32","Thailand","1","0","1"
"B","2012","12/08/2012","Boxing","0","Tervel Pulev","29","Bulgaria","0","1","1"
"C","2012","12/08/2012","Boxing","1","Robeisy Ramírez","18","Cuba","0","0","1"
"C","2012","12/08/2012","Boxing","0","Ren Cancan","24","China","1","0","1"
